domain,specialization,variable,linking_phrase,predicate_term,object
AE,AE,AETERM,is original text for,IS_ORIGINAL_TEXT_FOR,AEDECODE
AE,AEPRESP,AETERM,is original text for,IS_ORIGINAL_TEXT_FOR,AEDECODE
BE,COLLECTING,BECAT,groups values in,GROUPS,BETERM
BE,COLLECTING,BESPEC,is the material type of the subject of the activity in,IS_ATTRIBUTE_FOR,BETERM
RP,MENARAGE,RPSTRESU,is the unit for the value in,IS_UNIT_FOR,RPSTRESN
RP,MENFDUR,RPSTRESU,is the unit for the value in,IS_UNIT_FOR,RPSTRESN
RP,MENOAGE,RPSTRESU,is the unit for the value in,IS_UNIT_FOR,RPSTRESN
RP,MENSDUR,RPSTRESU,is the unit for the value in,IS_UNIT_FOR,RPSTRESN
RP,MENSDURA,RPSTRESU,is the unit for the value in,IS_UNIT_FOR,RPSTRESN
RS,BESTRESP,RSLNKGRP,identifies overall response supported by tumor assessments identified by,GROUPS_BY,TRLNKGRP
RS,OVRLRESP,RSLNKGRP,identifies overall response supported by tumor assessments identified by,GROUPS_BY,TRLNKGRP
RS,OVRLRESP_LUGANO,RSLNKGRP,identifies overall response supported by tumor assessments identified by,GROUPS_BY,TRLNKGRP
RS,OVRLRESP_RANO,RSLNKGRP,identifies overall response supported by tumor assessments identified by,GROUPS_BY,TRLNKGRP
RS,RDIORESP_RANO,RSLNKGRP,identifies overall response supported by tumor assessments identified by,GROUPS_BY,TRLNKGRP
SC,EGESTAGE,SCSTRESU,is the unit for the value in,IS_UNIT_FOR,SCSTRES
SC,GSTABRTH,SCSTRESU,is the unit for the value in,IS_UNIT_FOR,SCSTRES
SU,ALCOHOLHX,SUTRT,is original text for,IS_ORIGINAL_TEXT_FOR,SUDECOD
SU,BEERHX,SUTRT,is original text for,IS_ORIGINAL_TEXT_FOR,SUDECOD
SU,CAFFEINEHX,SUTRT,is original text for,IS_ORIGINAL_TEXT_FOR,SUDECOD
SU,CIGARETTEHX,SUTRT,is original text for,IS_ORIGINAL_TEXT_FOR,SUDECOD
