concept,predicate,status,ours,linkml_convert,cause
C100106,categories,agree,QRS Instrument Questions,QRS Instrument Questions,
C100417,categories,agree,Clinical or Research Assessment Classification | KPS SCALE | KPS Scale Questionnaire Question | KPSS01 | Karnofsky Performance Status Scale Clinical Classification | QRS,Clinical or Research Assessment Classification | KPS SCALE | KPS Scale Questionnaire Question | KPSS01 | Karnofsky Performance Status Scale Clinical Classification | QRS,
C100948,categories,agree,Body Measurements | Vital Signs,Body Measurements | Vital Signs,
C102711,categories,agree,Subject Characteristics,Subject Characteristics,
C115805,categories,agree,6 Minute Walk Functional Test | 6MWT | 6MWT Functional Test Question | Functional Assessment | QRS | SIX MINUTE WALK | SIXMW1,6 Minute Walk Functional Test | 6MWT | 6MWT Functional Test Question | Functional Assessment | QRS | SIX MINUTE WALK | SIXMW1,
C125009,categories,agree,Clinical Interpretation,Clinical Interpretation,
C100417,dataElementConcepts,agree,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C46126 | http://purl.obolibrary.org/obo/NCIT_C82515 | http://purl.obolibrary.org/obo/NCIT_C91106,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C46126 | http://purl.obolibrary.org/obo/NCIT_C82515 | http://purl.obolibrary.org/obo/NCIT_C91106,
C100948,dataElementConcepts,agree,http://purl.obolibrary.org/obo/NCIT_C13717 | http://purl.obolibrary.org/obo/NCIT_C42578 | http://purl.obolibrary.org/obo/NCIT_C70856 | http://purl.obolibrary.org/obo/NCIT_C82515,http://purl.obolibrary.org/obo/NCIT_C13717 | http://purl.obolibrary.org/obo/NCIT_C42578 | http://purl.obolibrary.org/obo/NCIT_C70856 | http://purl.obolibrary.org/obo/NCIT_C82515,
C102711,dataElementConcepts,agree,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C70856 | http://purl.obolibrary.org/obo/NCIT_C82515,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C70856 | http://purl.obolibrary.org/obo/NCIT_C82515,
C115805,dataElementConcepts,agree,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C42578 | http://purl.obolibrary.org/obo/NCIT_C82515 | http://purl.obolibrary.org/obo/NCIT_C91106 | ,http://purl.obolibrary.org/obo/NCIT_C25372 | http://purl.obolibrary.org/obo/NCIT_C42578 | http://purl.obolibrary.org/obo/NCIT_C82515 | http://purl.obolibrary.org/obo/NCIT_C91106 | ,
C100106,definition,agree,A question associated with the ADAS-Cog CDISC version functional test.,A question associated with the ADAS-Cog CDISC version functional test.,
C100417,definition,agree,Karnofsky Performance Status Scale (KPS Scale) Karnofsky Performance Status.,Karnofsky Performance Status Scale (KPS Scale) Karnofsky Performance Status.,
