graph,iri,local_name,label,in_schema_namespace
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/BiomedicalConcept,BiomedicalConcept,BiomedicalConcept,True
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/BiomedicalConceptResultScaleEnum,BiomedicalConceptResultScaleEnum,BiomedicalConceptResultScaleEnum,True
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/Coding,Coding,Coding,True
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/DataElementConcept,DataElementConcept,DataElementConcept,True
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/DataElementConceptDataTypeEnum,DataElementConceptDataTypeEnum,DataElementConceptDataTypeEnum,True
cosmos_bc_v1.ttl,https://www.cdisc.org/cosmos/biomedical_concept_v1.0/PackageTypeEnum,PackageTypeEnum,PackageTypeEnum,True
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C170547,NCIT_C170547,Assigned,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C170548,NCIT_C170548,Collected,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C170549,NCIT_C170549,Derived,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C170550,NCIT_C170550,Predecessor,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C170551,NCIT_C170551,Protocol,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C25936,NCIT_C25936,Investigator,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C41189,NCIT_C41189,Subject,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C68608,NCIT_C68608,Vendor,False
cosmos_sdtm_v1.ttl,http://purl.obolibrary.org/obo/NCIT_C70793,NCIT_C70793,Sponsor,False
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/AssignedTerm,AssignedTerm,AssignedTerm,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/CodeList,CodeList,CodeList,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/CodeListTerm,CodeListTerm,CodeListTerm,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/ComparatorEnum,ComparatorEnum,ComparatorEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/LinkingPhraseEnum,LinkingPhraseEnum,LinkingPhraseEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/OriginSourceEnum,OriginSourceEnum,OriginSourceEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/OriginTypeEnum,OriginTypeEnum,OriginTypeEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/PackageTypeEnum,PackageTypeEnum,PackageTypeEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/PredicateTermEnum,PredicateTermEnum,PredicateTermEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/RelationShip,RelationShip,RelationShip,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/RoleEnum,RoleEnum,RoleEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/SDTMGroup,SDTMGroup,SDTMGroup,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/SDTMVariable,SDTMVariable,SDTMVariable,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/SDTMVariableDataTypeEnum,SDTMVariableDataTypeEnum,SDTMVariableDataTypeEnum,True
cosmos_sdtm_v1.ttl,https://www.cdisc.org/cosmos/sdtm_v1.0/SubsetCodeList,SubsetCodeList,SubsetCodeList,True
